,street,city,state,zipcode,price,bed,bath,sqft,walkscore,transitscore,bikescore,competitivescore,price_per_sqft
663,2631 Yerba Vista Ct,San jose,CA,95121,788888,2.00,2.00,843.00,24,27.0,46.0,85.0,935.81
664,130 E San Fernando St #314,San jose,CA,95112,848888,2.00,2.00,1622.00,97,62.0,92.0,77.0,523.36
665,1001 E Evelyn Ter #149,Sunnyvale,CA,94086,838000,2.00,2.00,1123.00,35,35.0,75.0,84.0,746.22
666,20245 Northglen Sq,Cupertino,CA,95014,1150000,2.00,2.00,1060.00,50,37.0,72.0,85.0,1084.91
667,4558 Silva Ave,San jose,CA,95118,1583000,5.00,2.50,2423.00,64,25.0,75.0,89.0,653.32
668,48998 Oat Grass Ter,Fremont,CA,94539,1450000,3.00,2.50,2006.00,41,38.0,62.0,72.0,722.83
669,6933 Chantel Ct,San jose,CA,95129,899000,2.00,2.50,1044.00,58,22.0,77.0,88.0,861.11
670,961 Sherwood Ave,Los altos,CA,94022,1750000,1.00,1.00,633.00,89,47.0,87.0,75.0,2764.61
671,1036 Noble Ave,San jose,CA,95132,1250000,3.00,2.00,1673.00,30,30.0,27.0,87.0,747.16
672,808 S San Tomas Aquino Rd,Campbell,CA,95008,898000,2.00,2.00,1464.00,31,28.0,51.0,77.0,613.39
673,116 - 118 Park St,San francisco,CA,94110,1820000,4.00,2.00,2345.00,92,78.0,77.0,68.0,776.12
674,994 Corbett Ave,San francisco,CA,94131,2795000,3.00,3.00,3110.00,74,64.0,63.0,79.0,898.71
675,358 Maynard St,San francisco,CA,94112,995000,2.00,2.00,1650.00,70,73.0,61.0,79.0,603.03
677,798 Stanyan St #7,San francisco,CA,94117,1628000,2.00,2.00,1464.00,97,68.0,90.0,72.0,1112.02
678,216 Filbert St #2,San francisco,CA,94133,775000,2.00,1.50,623.00,95,84.0,64.0,47.0,1243.98
679,1726 Larkin St,San francisco,CA,94109,1350000,3.00,2.00,1490.00,99,79.0,70.0,47.0,906.04
680,580 Hayes St #303,San francisco,CA,94102,1895000,2.00,2.00,1321.00,99,93.0,89.0,72.0,1434.52
681,3630 - 3634 Scott St,San francisco,CA,94123,2998000,5.00,3.00,3525.00,94,63.0,94.0,72.0,850.5
682,718 Long Bridge St #1300,San francisco,CA,94158,1850000,2.00,2.00,1329.00,79,82.0,93.0,35.0,1392.02
683,400 Oak St #1,San francisco,CA,94102,786000,1.00,1.00,600.00,99,93.0,76.0,72.0,1310.0
684,4355 Anza St,San francisco,CA,94121,1698000,2.00,2.50,1975.00,93,63.0,67.0,72.0,859.75
685,655 Corbett Ave #506,San francisco,CA,94114,698000,1.00,1.00,673.00,71,65.0,62.0,79.0,1037.15
686,1459 - 1461 17th Ave,San francisco,CA,94122,1680000,4.00,3.00,3430.00,91,63.0,59.0,79.0,489.8
687,1881 Oakdale Ave,San francisco,CA,94124,1290000,8.00,3.00,2438.00,86,71.0,70.0,68.0,529.12
688,1688 Pine St Unit E401,San francisco,CA,94109,346593,2.00,2.00,889.00,99,78.0,74.0,72.0,389.87
689,37 Sussex St,San francisco,CA,94131,1895000,3.00,1.00,1189.00,90,78.0,70.0,79.0,1593.78
690,1338 - 1340 42nd Ave,San francisco,CA,94122,1195000,3.00,2.00,1452.00,89,54.0,92.0,83.0,823.0
691,77 - 81 Pleasant St,San francisco,CA,94108,2995000,5.00,3.00,3315.00,98,99.0,61.0,47.0,903.47
692,401 Harrison St Unit 8E,San francisco,CA,94105,975000,1.00,1.00,710.00,93,100.0,57.0,35.0,1373.24
694,15 Holyoke St,San francisco,CA,94134,1395000,3.00,2.00,2010.00,86,70.0,76.0,68.0,694.03
695,1439 Jefferson St,San francisco,CA,94123,1895000,2.00,2.00,1583.00,90,62.0,93.0,72.0,1197.09
696,80 Thor Ave,San francisco,CA,94131,5295000,4.00,3.50,4125.00,90,77.0,69.0,79.0,1283.64
697,72 Townsend St #702,San francisco,CA,94107,1495000,2.00,2.00,1212.00,90,95.0,85.0,35.0,1233.5
698,60 Rausch St #402,San francisco,CA,94103,699000,1.00,1.00,767.00,98,99.0,99.0,44.0,911.34
699,2840 Bryant St,San francisco,CA,94110,1795000,2.00,2.00,2048.00,96,76.0,76.0,68.0,876.46
700,184 Clipper St,San francisco,CA,94114,1549000,5.00,2.50,2700.00,96,74.0,79.0,79.0,573.7
701,2150 Grove St,San francisco,CA,94117,1895000,3.00,2.00,2021.00,93,72.0,76.0,72.0,937.65
702,101 Lombard St Unit 108W,San francisco,CA,94111,1655000,3.00,2.00,1790.00,97,79.0,62.0,38.0,924.58
703,1201 California St #1403,San francisco,CA,94109,2600000,3.00,3.00,1760.00,99,99.0,60.0,47.0,1477.27
704,323 Rutledge St,San francisco,CA,94110,998000,3.00,1.00,1000.00,86,75.0,70.0,68.0,998.0
705,2502 Leavenworth St,San francisco,CA,94133,7898000,5.00,4.50,4500.00,97,82.0,67.0,47.0,1755.11
706,81 Frank Norris St #505,San francisco,CA,94109,795000,1.00,1.00,784.00,100,93.0,79.0,47.0,1014.03
707,676 Alvarado St,San francisco,CA,94114,1888000,3.00,3.00,1873.00,94,64.0,65.0,79.0,1008.01
708,419 Baden St,San francisco,CA,94131,2800000,4.00,3.50,2805.00,72,73.0,64.0,79.0,998.22
710,137 Castro St,San francisco,CA,94114,949000,1.00,1.00,851.00,96,87.0,69.0,79.0,1115.16
711,5524 Mission St,San francisco,CA,94112,999999,3.00,1.00,1829.00,90,81.0,46.0,79.0,546.75
712,855 Folsom St #112,San francisco,CA,94107,799000,1.00,1.50,880.00,97,100.0,90.0,71.0,907.95
714,619 28th Ave Ph,San francisco,CA,94121,1595000,3.00,2.50,6570.00,90,69.0,54.0,72.0,242.77
715,559 Joost Ave,San francisco,CA,94127,979000,2.00,1.00,979.00,76,72.0,59.0,79.0,1000.0
716,181 Fremont Unit 62C,San francisco,CA,94105,2450000,2.00,2.50,1262.00,99,100.0,78.0,35.0,1941.36
717,158 Cervantes Blvd,San francisco,CA,94123,4795000,4.00,3.50,3255.00,90,63.0,91.0,72.0,1473.12
719,1025 Minna St #5,San francisco,CA,94103,895000,1.00,1.50,933.00,97,99.0,99.0,44.0,959.27
720,142 Wawona St,San francisco,CA,94127,1995000,4.00,1.50,2687.00,95,73.0,72.0,71.0,742.46
721,2205 Sacramento St #201,San francisco,CA,94115,1595000,2.00,1.50,1582.00,98,77.0,67.0,72.0,1008.22
722,1200 California St Unit 25A,San francisco,CA,94109,2250000,1.00,2.00,1435.00,99,99.0,60.0,47.0,1567.94
723,480 10th Ave,San francisco,CA,94118,1695000,3.00,3.00,1977.00,97,71.0,86.0,71.0,857.36
724,1918 Divisadero St,San francisco,CA,94115,4299950,4.00,3.50,3360.00,97,71.0,83.0,72.0,1279.75
725,1336 Lake St,San francisco,CA,94118,1575000,2.00,1.50,1400.00,84,67.0,95.0,72.0,1125.0
727,1842 18th Ave,San francisco,CA,94122,3795000,5.00,4.50,3578.00,79,63.0,51.0,79.0,1060.65
728,1177 California St #1414,San francisco,CA,94108,1645000,2.00,2.50,1399.00,99,100.0,59.0,47.0,1175.84
729,250 Edgewood Ave,San francisco,CA,94117,3999950,4.00,4.50,2766.00,79,66.0,53.0,79.0,1446.11
730,858 Capp St #8,San francisco,CA,94110,1899000,3.00,3.00,1638.00,100,81.0,100.0,68.0,1159.34
731,2240 27th Ave,San francisco,CA,94116,1295000,3.00,1.00,1899.00,84,64.0,38.0,79.0,681.94
732,1257 Dolores St Unit A,San francisco,CA,94110,875000,1.00,1.00,860.00,97,79.0,85.0,79.0,1017.44
733,555 Ramsell St,San francisco,CA,94132,1981989,5.00,4.50,3187.00,74,65.0,48.0,79.0,621.9
734,2449 Chestnut St,San francisco,CA,94123,1895000,2.00,2.00,1462.00,97,63.0,96.0,72.0,1296.17
735,563 Belvedere St,San francisco,CA,94117,1498000,3.00,1.50,1378.00,93,73.0,66.0,72.0,1087.08
736,368 Bradford St,San francisco,CA,94110,1475000,4.00,3.00,1620.00,88,73.0,68.0,68.0,910.49
737,22 Cutler Ave,San francisco,CA,94116,1095000,3.00,2.00,1195.00,62,51.0,80.0,79.0,916.32
738,764 Clayton St,San francisco,CA,94117,1995000,4.00,3.50,2255.00,98,68.0,76.0,72.0,884.7
739,519 Garfield St,San francisco,CA,94132,995000,2.00,1.00,1145.00,72,68.0,44.0,79.0,869.0
740,108 Marietta Dr,San francisco,CA,94127,1095000,3.00,2.00,1106.00,70,65.0,56.0,79.0,990.05
741,760 Duboce Ave,San francisco,CA,94117,1995000,3.00,2.00,1793.00,95,87.0,72.0,72.0,1112.66
743,39 Collingwood St,San francisco,CA,94114,1549000,3.00,1.00,1615.00,100,85.0,76.0,79.0,959.13
744,2858 Sacramento St,San francisco,CA,94115,1695000,3.00,2.00,1705.00,96,73.0,73.0,72.0,994.13
746,3131 Pierce St #305,San francisco,CA,94123,1595000,2.00,2.00,1194.00,98,61.0,85.0,72.0,1335.85
747,425 El Camino Del Mar,San francisco,CA,94121,4495000,4.00,3.00,3100.00,68,53.0,66.0,72.0,1450.0
748,524 - 526 Vermont St,San francisco,CA,94107,1900000,3.00,2.00,2337.00,96,74.0,71.0,68.0,813.01
749,2015 - 2019 17th St,San francisco,CA,94103,3295000,7.00,4.00,4600.00,96,74.0,74.0,68.0,716.3
750,1274 Sanchez St,San francisco,CA,94114,1259000,2.00,1.00,1100.00,96,74.0,79.0,79.0,1144.55
751,2017 17th St,San francisco,CA,94103,1199000,3.00,2.00,1465.00,96,74.0,74.0,68.0,818.43
752,1235 Mcallister St #121,San francisco,CA,94115,378157,1.00,1.00,659.00,97,82.0,74.0,72.0,573.83
753,77 Van Ness Ave #403,San francisco,CA,94102,1295000,2.00,2.00,1155.00,99,99.0,99.0,71.0,1121.21
754,235 Berry St #517,San francisco,CA,94158,1149000,2.00,2.00,1078.00,89,83.0,92.0,35.0,1065.86
755,520 Palmer Ave,Hayward,CA,94541,949000,3.00,2.50,1692.00,70,57.0,65.0,79.0,560.87
756,28720 Fox Hollow Dr,Hayward,CA,94542,1500000,4.00,3.00,3045.00,3,18.0,26.0,87.0,492.61
757,647 Macabee Way,Hayward,CA,94541,699888,2.00,2.50,1272.00,66,55.0,60.0,79.0,550.23
758,27571 Orlando Ave,Hayward,CA,94545,849950,3.00,2.00,1119.00,34,40.0,66.0,93.0,759.56
759,32 Crystal Gate,Hayward,CA,94544,525950,2.00,1.00,1150.00,66,46.0,56.0,91.0,457.35
760,26673 Huntwood Ave,Hayward,CA,94544,749000,3.00,2.00,1250.00,19,36.0,49.0,88.0,599.2
761,26360 Taft St,Hayward,CA,94544,729000,3.00,2.00,1165.00,18,35.0,51.0,88.0,625.75
762,482 Hampton Rd,Hayward,CA,94541,648000,2.00,1.00,888.00,37,0.0,50.0,89.0,729.73
763,26318 Peterman Ave,Hayward,CA,94545,799000,3.00,2.00,1238.00,32,40.0,57.0,92.0,645.4
764,11 Crystal Gate Comns,Hayward,CA,94544,799000,3.00,2.50,1585.00,66,46.0,56.0,91.0,504.1
765,1575 E St,Hayward,CA,94541,1179999,3.00,3.00,2400.00,54,46.0,26.0,89.0,491.67
766,120 Edmund Pl,Hayward,CA,94544,938000,3.00,2.50,1938.00,42,44.0,52.0,91.0,484.0
767,954 Folsom Ave,Hayward,CA,94544,699000,3.00,1.00,951.00,40,39.0,51.0,91.0,735.02
768,2201 Parnassus Ct,Hayward,CA,94542,685000,3.00,2.50,1554.00,51,32.0,28.0,90.0,440.8
769,26425 Flamingo Ave,Hayward,CA,94544,699950,3.00,2.00,1535.00,54,38.0,57.0,88.0,455.99
770,132 Gloria St,Hayward,CA,94544,925000,3.00,2.00,1821.00,57,35.0,56.0,90.0,507.96
771,1150 W Winton Ave #114,Hayward,CA,94545,279950,3.00,2.00,1536.00,76,44.0,54.0,0.0,182.26
772,227 Goodwin St,Hayward,CA,94544,799950,3.00,2.00,1653.00,40,38.0,55.0,90.0,483.94
